ISIC Rev 5 Code (with Section),ISIC Rev 5 Code,ISIC Rev 5 Title,ISIC Rev 5 Introductory Text,ISIC Rev 5 Includes,ISIC Rev 5 Includes Also,ISIC Rev 5 Excludes
R8620,8620,Medical and dental practice activities ,,"This class includes: 
-	medical consultation and treatment in the field of general and specialized medicine by general practitioners and medical specialists and surgeons 
-	dental practice activities of a general or specialized nature, e.g. dentistry, endodontic and pediatric dentistry; oral pathology 
-	orthodontic activities 
-	family planning centres providing medical treatment, such as sterilization and termination of pregnancy, without accommodation 
These activities can be carried out in private practice, group practices and in hospital outpatient clinics, and in clinics such as those attached to firms, schools, homes for the aged, labour organizations and fraternal organizations, as well as in patients’ homes. 
This class also includes: 
-	dental activities in operating rooms 
-	private consultants’ services to inpatients 
This class excludes: 
-	production of artificial teeth, denture and prosthetic appliances by dental laboratories, see 3250 
-	inpatient hospital activities, see 8610 
-	paramedical activities such as those of midwives, nurses and physiotherapists, see 8699",,
R869,869,Other human health activities ,,"This group includes medical, curative, rehabilitative, or prevention activities (without provision of accommodation services) by paramedical practitioners and health professionals other than hospitals or practicing medical doctors.",,
R8691,8691,"Intermediation service activities for medical, dental, and other human health services",,"This class includes the intermediation of medical, dental and other human health services, by bringing clients and service providers together for a fee or commission, without the intermediary providing the medical, dental and other human health services that are intermediated. These intermediation activities can be carried out on digital platforms or through non-digital channels (face-to-face including door-to-door, phone, mail etc.). The fee or commission can be received from either the client or the provider of the medical, dental and other human health services. Revenue for the intermediation activities can include other sources of income, such as revenues from sale of advertising.","This class also includes:
- appointment reservations for medical visits","This class excludes:
-	intermediation service activities for residential care activities, see 8791
"
R8699,8699,Other human health activities n.e.c,,"This class includes: 
-	activities for human health n.e.c.: 
•	activities of nurses, midwives, physiotherapists or other paramedical practitioners in the field of optometry, hydrotherapy, medical massage, occupational therapy, speech therapy, podiatry/chiropody, homeopathy, chiropractice, acupuncture etc. 
These activities may be carried out in health clinics such as those attached to firms, schools, homes for the aged, labour organizations and fraternal organizations and in residential health facilities other than hospitals, as well as in own consulting rooms, patients’ homes or elsewhere. These activities do not involve medical treatment. ","This class also includes: 
-	activities of dental paramedical personnel such as dental therapists, school dental nurses and dental hygienists, who may work remote from, but are periodically supervised by, the dentist 
-	activities of medical laboratories such as: 
•	X-ray laboratories and other diagnostic imaging centres
•	blood analysis laboratories 
-	activities of blood banks, sperm banks, transplant organ banks etc. 
-	ambulance transport of patients by any mode of transport including airplanes. The ambulance vehicles carry paramedics/medical doctors and are usually equipped with lifesaving equipment.","This class excludes: 
-	production of artificial teeth, denture and prosthetic appliances by dental laboratories, see 3250 
-	transfer of patients, with neither equipment for lifesaving nor medical personnel, see divisions 49, 50, 51 
-	non-medical laboratory testing, see 7120 
-	testing activities in the field of food hygiene, see 7120 
-	hospital activities, see 8610 
-	medical and dental practice activities, see 8620 
-	nursing care facilities, see 8710"
R87,87,Residential care activities,,"This division includes the provision of residential care combined with either nursing, supervisory or other types of care as required by the residents. The residential care is a mix of health and social services with the health services being largely some level of nursing services. Residential care activities are provided for residents, whom can be staying temporarily.","This division also includes activities of residential care centres (providing regular residential care in places specially built or adapted for some target groups). Units are classified depending on target groups (children under three, older persons, persons with physical disabilities etc.).","This division excludes:	
- non-residential nursing activities, see 8699
- non-residential care activities, see division 88
"
R871,871,Residential nursing care activities ,See class 8710,,,
R8710,8710,Residential nursing care activities ,,"This class includes the provision of residential care, with medical assistance, nursing and rehabilitation treatments. These establishments have a permanent core staff of registered or licensed practical nurses that, along with other staff, provide nursing care in combination with personal care. The medical or nursing care services typically include administering medication, performing medical diagnoses and dressing wounds, and are typically provided without the supervision of a medical doctor located on the premises. This class includes activities of:
•	homes for older persons with nursing care
•	convalescent homes, other than mental health and substance abuse facilities
•	rest homes with nursing care
•	nursing care facilities
•	nursing homes hospices
•	inpatient care hospices for palliative care",,"This class excludes:
-	palliative care for out-patients, see, 8699 
-	activities of homes for older persons without or with only minimal nursing care, see 8730
-	residential and personal care activities e.g. orphanages, children's boarding homes and hostels, temporary homeless shelters, see 8799
"
R872,872,Residential care activities for persons living with or having a diagnosis of a mental illness or substance abuse,See class 8720,,,
R8720,8720,Residential care activities for persons living with or having a diagnosis of a mental illness or substance abuse,,"This class includes the provision of residential care (but not licensed hospital care), protective supervision and counselling to persons living with or having a diagnosis of a mental illness, intellectual disability or substance abuse, irrespective of the age. 
This class includes activities of:
-	facilities for treatment of substance abuse
-	mental health convalescent homes
-	residential group homes for the emotionally disturbed
-	mental health halfway houses
-	assisted living facilities for persons having a diagnosis of intellectual disability
Includes also: ",,"This class excludes:
-	mental health hospitals, see 8610
-	provision of residential nursing care and rehabilitative services for individuals other than those living with or having a diagnosis of a mental illness, see 8710, 8730
-	social work activities with accommodation, such as temporary homeless shelters, see 8799
-	non-residential care activities for persons living with or having a diagnosis of a mental illness, such as mental health care centres, see division 88
"
R873,873,Residential care activities for older persons or persons with physical disabilities,See class 8730,,,
R8730,8730,Residential care activities for older persons or persons with physical disabilities,,"This class includes the provision of residential and personal care services for  older persons or persons with physical disabilities who are unable to fully care for themselves and/or who do not desire to live independently. The care typically includes room, board, supervision, and assistance in daily living, such as housekeeping activities. Nursing careis sometimes provided for residents in separate on-site facilities.
This class includes:
-	activities of:
•	assisted-living facilities
•	continuing care retirement communities
•	homes for older persons with minimal nursing care
•	rest homes without nursing care",,"This class excludes:
-	residential nursing care activities for older persons, see 8710
-	provision of residential nursing and rehabilitative services for older persons or persons living with or having a diagnosis of a mental illness, see 8720
-	social work activities with accommodation, see 8799"
